No,UID,X,Y,Z,Angle
858,1000101021,-0.107117,-1.822687,88.175529,0
868,1000101021,-0.10426,-1.821149,88.175217,0
878,1000101021,0.472467,-1.822412,88.116631,1.07101152
888,1000101021,0.473566,-1.82005,88.116112,1.07101152
898,1000101021,0.475433,-1.823511,88.1138,1.07101152
908,1000101021,1.052765,-1.821094,87.893799,2.14202304
918,1000101021,1.053754,-1.823785,87.890419,2.14202304
929,1000101021,1.635535,-1.824884,87.544281,3.21303456
939,1000101021,1.638446,-1.823016,87.545013,3.21303456
949,1000101021,1.640863,-1.830267,87.544884,3.21303456
959,1000101021,1.64317,-1.824719,87.539162,3.21303456
969,1000101021,2.223193,-1.825653,87.117645,4.284046081
979,1000101021,2.224841,-1.825708,87.12011,4.284046081
989,1000101021,2.820355,-1.829993,86.636063,5.355057601
999,1000101021,2.812171,-1.823621,86.640472,5.355057601
1009,1000101021,2.817389,-1.830322,86.635704,5.355057601
1019,1000101021,2.821509,-1.830487,86.635155,5.355057601
1029,1000101021,2.226709,-1.825928,87.111893,4.284046081
1039,1000101021,2.228302,-1.823291,87.123398,4.284046081
1049,1000101021,2.222424,-1.824115,87.116585,4.284046081
1059,1000101021,1.638446,-1.822632,87.546295,3.21303456
1069,1000101021,1.644379,-1.825378,87.544373,3.21303456
1089,1000101021,1.053424,-1.821039,87.894051,2.14202304
1099,1000101021,1.055676,-1.821918,87.890732,2.14202304
1109,1000101021,0.477795,-1.820654,88.114021,1.07101152
1119,1000101021,0.478619,-1.823126,88.111473,1.07101152
1129,1000101021,0.473071,-1.820984,88.117256,1.07101152
1139,1000101021,-0.106952,-1.820325,88.176559,0
1149,1000101021,-0.107446,-1.821478,88.176468,0
1159,1000101021,-0.682581,-1.819336,88.058846,-1.07101152
1169,1000101021,-0.680768,-1.820544,88.057014,-1.07101152
1179,1000101021,-0.681537,-1.818512,88.055374,-1.07101152
1189,1000101021,-1.255243,-1.816864,87.791634,-2.14202304
1199,1000101021,-1.255847,-1.818073,87.792259,-2.14202304
1209,1000101021,-1.24953,-1.817688,87.794548,-2.14202304
1219,1000101021,-1.822522,-1.816919,87.428734,-3.21303456
1229,1000101021,-2.391449,-1.814227,86.99424,-4.284046081
1239,1000101021,-2.956805,-1.813843,86.53241,-5.355057601
739,1000101022,-86.755516,-3.194165,0.596283,-5.355057601
749,1000101022,-87.308342,-2.631171,0.584418,-4.284046081
759,1000101022,-87.30735,-2.636389,0.581232,-4.284046081
769,1000101022,-87.309349,-2.63172,0.588153,-4.284046081
779,1000101022,-87.857422,-2.063342,0.578375,-3.21303456
789,1000101022,-87.855194,-2.068286,0.580518,-3.21303456
799,1000101022,-87.852638,-2.077679,0.585077,-3.21303456
809,1000101022,-87.857445,-2.071472,0.577386,-3.21303456
819,1000101022,-88.395935,-1.497162,0.577661,-2.14202304
829,1000101022,-88.395233,-1.497876,0.571783,-2.14202304
839,1000101022,-88.393372,-1.505182,0.569037,-2.14202304
849,1000101022,-88.917503,-0.932355,0.559698,-1.07101152
859,1000101022,-89.337029,-0.358429,0.567609,0
869,1000101022,-89.339035,-0.360516,0.562665,0
879,1000101022,-89.340446,-0.360516,0.556512,0
889,1000101022,-89.399719,0.22088,0.562885,1.07101152
899,1000101022,-89.401581,0.218848,0.557227,1.07101152
909,1000101022,-89.40049,0.218079,0.557886,1.07101152
919,1000101022,-89.027588,0.796124,0.551184,2.14202304
930,1000101022,-89.031815,0.798706,0.552447,2.14202304
940,1000101022,-88.523193,1.371039,0.551349,3.21303456
950,1000101022,-88.519768,1.379718,0.54223,3.21303456
960,1000101022,-88.517929,1.376642,0.548767,3.21303456
970,1000101022,-88.518867,1.376971,0.54657,3.21303456
980,1000101022,-87.962502,1.958533,0.538275,4.284046081
990,1000101022,-87.966736,1.961774,0.543439,4.284046081
1000,1000101022,-87.39753,2.550751,0.528442,5.355057601
1010,1000101022,-87.399559,2.548004,0.533881,5.355057601
1020,1000101022,-87.393967,2.548773,0.526959,5.355057601
1030,1000101022,-87.395256,2.550421,0.539264,5.355057601
1040,1000101022,-87.966019,1.960455,0.548822,4.284046081
1050,1000101022,-87.967323,1.962598,0.535968,4.284046081
1060,1000101022,-87.968773,1.965179,0.543549,4.284046081
1070,1000101022,-88.521996,1.381256,0.54234,3.21303456
1080,1000101022,-88.517441,1.376752,0.545691,3.21303456
1100,1000101022,-89.031319,0.797443,0.553986,2.14202304
1110,1000101022,-89.037399,0.797937,0.545801,2.14202304
1120,1000101022,-89.393929,0.213629,0.563708,1.07101152
1130,1000101022,-89.399857,0.220825,0.557007,1.07101152
1140,1000101022,-89.403343,0.221265,0.558215,1.07101152
1150,1000101022,-89.335548,-0.362604,0.55882,0
1160,1000101022,-89.338402,-0.354089,0.556897,0
1170,1000101022,-88.911522,-0.929004,0.567938,-1.07101152
1180,1000101022,-88.914444,-0.936749,0.572662,-1.07101152
1190,1000101022,-88.910477,-0.930267,0.57019,-1.07101152
1200,1000101022,-88.398048,-1.504083,0.582056,-2.14202304
1210,1000101022,-88.398361,-1.496613,0.567609,-2.14202304
1220,1000101022,-88.400276,-1.498535,0.576892,-2.14202304
1230,1000101022,-87.856682,-2.068726,0.580243,-3.21303456
1240,1000101022,-87.305313,-2.632764,0.584418,-4.284046081
1250,1000101022,-86.757278,-3.190265,0.592328,-5.355057601
740,1000101023,-85.993172,-4.000781,0.236261,-5.355057601
750,1000101023,-86.551384,-3.441028,0.248071,-4.284046081
760,1000101023,-86.551872,-3.437677,0.251477,-4.284046081
770,1000101023,-86.554482,-3.434821,0.247577,-4.284046081
780,1000101023,-87.114326,-2.871991,0.260101,-3.21303456
790,1000101023,-87.112679,-2.87699,0.254608,-3.21303456
800,1000101023,-87.114456,-2.877429,0.268341,-3.21303456
810,1000101023,-87.679298,-2.310864,0.260321,-2.14202304
820,1000101023,-87.682343,-2.316962,0.270099,-2.14202304
830,1000101023,-87.677528,-2.309766,0.262463,-2.14202304
840,1000101023,-88.240204,-1.748254,0.274603,-1.07101152
850,1000101023,-88.804031,-1.166144,0.281854,0
860,1000101023,-88.804794,-1.169165,0.278119,0
870,1000101023,-88.800491,-1.166144,0.285315,0
880,1000101023,-89.344856,-0.594305,0.279382,1.07101152
890,1000101023,-89.337479,-0.596228,0.286469,1.07101152
900,1000101023,-89.343887,-0.59491,0.288666,1.07101152
910,1000101023,-89.713264,-0.016589,0.292072,2.14202304
920,1000101023,-89.709023,-0.017798,0.288007,2.14202304
931,1000101023,-89.362862,0.563379,0.302563,3.21303456
