,UID,VBAT,DID,YEAR,MON,DAY,HOUR,MIN,SEC,X,Y,Z,T,,,,,,,,,,,,,,,,2
206,1000101026,3591,22,19,9,30,13,22,0,-88.893845,-0.542725,0.963721,18.9,,,,,,,,,,,,,,,,
207,1000101018,3575,23,19,9,30,13,23,0,-0.150513,-2.305481,87.692871,18.1,,,,,,,,,,,,,,,,
208,1000101019,3576,23,19,9,30,13,23,0,-0.067896,-2.359534,87.639801,18.9,,,,,,,,,,,,,,,,
209,1000101020,3589,23,19,9,30,13,23,0,-0.103656,-2.252911,87.749298,18.4,,,,,,,,,,,,,,,,
210,1000101021,3564,23,19,9,30,13,23,0,-0.107347,-1.822269,88.172638,18.6,,,,,,,,,,,,,,,,
211,1000101022,3581,23,19,9,30,13,23,0,-89.296875,-0.373535,0.582275,18.5,,,,,,,,,,,,,,,,
212,1000101023,3604,23,19,9,30,13,23,0,-88.811279,-1.161804,0.176331,18.6,,,,,,,,,,,,,,,,
213,1000101024,3638,23,19,9,30,13,23,0,-88.833694,-0.857922,0.79574,19.799999,,,,,,,,,,,,,,,,
214,1000101025,3596,23,19,9,30,13,23,0,-88.267654,-0.276581,1.710648,18.700001,,,,,,,,,,,,,,,,
215,1000101026,3591,23,19,9,30,13,23,0,-88.891533,-0.544592,0.973004,18.9,,,,,,,,,,,,,,,,
216,1000101018,3575,24,19,9,30,13,24,0,-0.153259,-2.305481,87.692871,18.1,,,,,,,,,,,,,,,,
217,1000101019,3576,24,19,9,30,13,24,0,-0.06427,-2.361841,87.639297,18.9,,,,,,,,,,,,,,,,
218,1000101020,3589,24,19,9,30,13,24,0,-0.095471,-2.248187,87.751595,18.4,,,,,,,,,,,,,,,,
219,1000101021,3563,24,19,9,30,13,24,0,-0.103656,-1.822269,88.172775,18.6,,,,,,,,,,,,,,,,
220,1000101022,3580,24,19,9,30,13,24,0,-89.362793,-0.346069,0.55481,18.5,,,,,,,,,,,,,,,,
221,1000101023,3601,24,19,9,30,13,24,0,-88.820618,-1.191467,0.169189,18.6,,,,,,,,,,,,,,,,
222,1000101024,3638,24,19,9,30,13,24,0,-88.834999,-0.858582,0.783545,19.700001,,,,,,,,,,,,,,,,
223,1000101025,3595,24,19,9,30,13,24,0,-88.264252,-0.276405,1.714296,18.700001,,,,,,,,,,,,,,,,
224,1000101026,3590,24,19,9,30,13,24,0,-88.889168,-0.54267,0.968115,18.9,,,,,,,,,,,,,,,,
