DateTime,UID,V,X,Y,Z,T
20/3/27 22:25:0,7,3471,5.630705,-8.101132,-80.115692,15
20/3/27 22:30:0,7,3474,5.628903,-8.097174,-80.117615,15.1
20/3/27 22:35:0,7,3476,5.637501,-8.098921,-80.112984,15.1
20/3/27 22:40:0,7,3473,5.641476,-8.10138,-80.109795,15
20/3/27 22:45:0,7,3473,5.640938,-8.101413,-80.109947,15.1
20/3/27 22:50:0,7,3474,5.649584,-8.098462,-80.105606,14.9
20/3/27 22:55:0,7,3474,5.64645,-8.101195,-80.106651,15.1
20/3/27 23:0:0,7,3473,5.655949,-8.099821,-80.101624,14.9
20/3/27 23:5:0,7,3474,5.66038,-8.099901,-80.099258,14.9
20/3/27 23:10:0,7,3470,5.657172,-8.103542,-80.097664,14.9
20/3/27 23:15:0,7,3474,5.661357,-8.104789,-80.093376,14.9
20/3/27 23:20:0,7,3476,5.664747,-8.103999,-80.092445,14.9
20/3/27 23:25:0,7,3471,5.667409,-8.105037,-80.088974,14.9
20/3/27 23:30:0,7,3473,5.675591,-8.109021,-80.081963,14.8
20/3/27 23:35:0,7,3471,5.680233,-8.107501,-80.080299,14.8
20/3/27 23:40:0,7,3471,5.675865,-8.108848,-80.081108,14.8
20/3/27 23:45:0,7,3474,5.683764,-8.111841,-80.076233,14.8
20/3/27 23:50:0,7,3474,5.686735,-8.113166,-80.072495,14.8
20/3/27 23:55:0,7,3471,5.690316,-8.113559,-80.070946,14.8
20/3/28 0:0:0,7,3471,5.688073,-8.112071,-80.072784,14.8
20/3/28 0:5:0,7,3473,5.688757,-8.116253,-80.06926,14.7
20/3/28 0:10:0,7,3473,5.697832,-8.117281,-80.062698,14.8
20/3/28 0:15:0,7,3473,5.696457,-8.118893,-80.062126,14.7
20/3/28 0:20:0,7,3473,5.698072,-8.12073,-80.059715,14.7
20/3/28 0:25:0,7,3473,5.707168,-8.121701,-80.053787,14.7
20/3/28 0:30:0,7,3473,5.709052,-8.121628,-80.053276,14.7
20/3/28 0:35:0,7,3474,5.706314,-8.125139,-80.051216,14.7
20/3/28 0:40:0,7,3471,5.708571,-8.124276,-80.049271,14.6
20/3/28 0:45:0,7,3474,5.716329,-8.127227,-80.04303,14.6
20/3/28 0:50:0,7,3470,5.717713,-8.128356,-80.041,14.6
20/3/28 0:55:0,7,3470,5.716348,-8.128493,-80.042778,14.6
20/3/28 1:0:0,7,3474,5.721415,-8.129559,-80.038689,14.6
20/3/28 1:5:0,7,3473,5.723378,-8.135883,-80.034943,14.6
20/3/28 1:10:0,7,3471,5.721646,-8.132575,-80.036606,14.5
20/3/28 1:15:0,7,3473,5.727691,-8.134306,-80.03167,14.5
20/3/28 1:20:0,7,3471,5.725256,-8.138043,-80.030304,14.5
20/3/28 1:25:0,7,3470,5.732118,-8.139023,-80.024048,14.5
20/3/28 1:30:0,7,3473,5.728273,-8.139251,-80.02655,14.5
20/3/28 1:35:0,7,3473,5.736092,-8.139709,-80.020859,14.4
20/3/28 1:40:0,7,3471,5.73251,-8.139688,-80.022087,14.5
20/3/28 1:45:0,7,3474,5.73833,-8.143799,-80.01606,14.4
20/3/28 1:50:0,7,3470,5.734914,-8.146612,-80.014977,14.4
20/3/28 1:55:0,7,3471,5.742863,-8.149538,-80.009972,14.4
20/3/28 2:0:0,7,3471,5.744265,-8.149252,-80.009018,14.4
20/3/28 2:5:0,7,3471,5.740376,-8.150154,-80.009575,14.4
20/3/28 2:10:0,7,3471,5.744333,-8.151504,-80.006439,14.4
20/3/28 2:15:0,7,3468,5.750314,-8.1581,-79.999939,14.3
20/3/28 2:20:0,7,3471,5.746233,-8.161205,-79.99913,14.4
20/3/28 2:25:0,7,3471,5.747742,-8.161878,-79.997246,14.3
20/3/28 2:30:0,7,3470,5.750252,-8.161048,-79.998444,14.3
20/3/28 2:35:0,7,3473,5.755993,-8.162831,-79.992271,14.3
